"PUBLICATION_ID","SCHEMA_TYPE","TITLE","NOTES","TOPIC","TAGS","INTERNAL_CONTACT_NAME","INTERNAL_CONTACT_EMAIL","ORGANIZATION_TITLE","CUSTODIAN","HOMEPAGE_URL","LICENSE_ID","PUBLICATION_REQUIRED_UNDER_ATIPP_ACT","PUBLICATION_TYPE_UNDER_ATIPP_ACT","METADATA_CREATED","METADATA_MODIFIED","DKAN_URI","DKAN_NODE_ID"
46400,"information","Metallogeny of epithermal gold and base metal veins of the southern Dawson Range, Yukon","","Science and technology","Yukon Geological Survey,","Yukon Geological Survey","geology@yukon.ca","Yukon Geological Survey","","","OGL-Yukon-2.0","","","2011-04-04 03:04:56","2023-12-12 10:12:34","",""
68000,"information","Genesis of Turbic Cryosols on north-facing slopes in a dissected, unglaciated landscape, west-central Yukon Territory","This paper is available via open access. You can also contact the Yukon Geological Survey (geology@gov.yk.ca) for a copy of this paper.","Science and technology","Yukon Geological Survey,","Yukon Geological Survey","geology@yukon.ca","Yukon Geological Survey","","","OGL-Yukon-2.0","","","2013-04-23 10:04:35","2023-12-12 10:12:34","",""
68400,"information","First Vertical Derivative of the Magnetic Field, aeromagnetic survey of the Dawson area, NTS parts of 115O/14, 15, 16, 116B/1, 2, 3, 6, 7","This aeromagnetic survey was carried out by Goldak Airborne Surveys from February 17, 2014 to March 21, 2014. The data were collected using split-beam cesium vapour magnetometers mounted in each of the tail booms of 2 Piper Navajo aircraft. Nominal traverse and control line spacings were 400 and 1400 m, and the nominal terrain clearance was 125 m.","Science and technology","Yukon Geological Survey,","Yukon Geological Survey","geology@yukon.ca","Yukon Geological Survey","","","OGL-Yukon-2.0","","","2014-08-20 09:08:00","2023-12-12 10:12:34","",""
69500,"information","Yukon Mineral Exploration Program Update 2015-2016","","Science and technology","Yukon Geological Survey,","Yukon Geological Survey","geology@yukon.ca","Yukon Geological Survey","","","OGL-Yukon-2.0","","","2016-01-25 02:01:13","2023-12-12 10:12:34","",""
78500,"information","Enhanced interpretation of stream sediment geochemical data for NTS 116B and 116C","New geochemical data from re-analysis of archived stream sediment samples have been assessed using weighted sums modeling and catchment basin analysis as described in the methodology report that accompanies this map (YGS Open File 2015-10). Both commodity and pathfinder element abundances are evaluated to highlight areas that show geochemical responses consistent with a variety of base and precious-metal mineral deposit types. The results of modeling, completed using two approaches, are presented as a series of catchment maps and associated data files. This release is part of a regional assessment of stream sediment geochemistry that covers a large part of Yukon.
","Science and technology","Yukon Geological Survey,Basin modeling,RGS,Regional geochemical survey,Stream sediment geochemistry","Yukon Geological Survey","geology@yukon.ca","Yukon Geological Survey","","","OGL-Yukon-2.0","","","2016-11-17 09:11:57","2023-12-12 10:12:34","",""
79500,"information","An appraisal of Devonian-Mississippian shale strata in Yukon’s Liard basin","This study presents the first shale gas appraisal of Devonian-Mississippian shale strata in Yukon’s Liard basin. Assessed volumes of 68 Tcf gas-in-place and 7.6 Tcf marketable gas are contained within two shale plays identified from an integrated wireline log and geochemical evaluation: the Devonian (Givetian-Frasnian) Horn River shale and the Devonian-Mississippian (Famennian-Tournaisian) Exshaw-Patry shale. Average burial depths of 3018 mTVD and net pay thicknesses of 73 m for the Horn River, and 2688 mTVD and 89 m for the Exshaw-Patry plays are interpreted. Both plays are dominated by black, organic-rich, siliceous mudstones, and exhibit: elevated TOC contents (0.6-6.9 wt %); maturities within or past the dry gas window (2.1-4.6 %Ro); very high biogenic silica proportions (averaging 80.2-90.3%); high mineralogical stiffness (0.80-0.87); and average porosities of 1.2% for the Horn River and 4.2% for the Exshaw-Patry play. Resource distribution models indicate 50% of Yukon’s marketable gas will be found in 30% of its assessed area, with the best potential for significant volumes located in the very southeast of the territory where play depth and thickness increases.","Science and technology","Yukon Geological Survey,","Yukon Geological Survey","geology@yukon.ca","Yukon Geological Survey","","","OGL-Yukon-2.0","","","2018-01-18 10:01:03","2023-12-12 10:12:34","",""
81600,"information","First Vertical Derivative of the Magnetic Field, Aeromagnetic Survey of the Marsh Lake Area, Yukon, Part of NTS 105C/North","This aeromagnetic survey was carried out by Geo Data Solutions GDS Inc. from January 12, 2018 to March 16, 2018. The data were recorded using split-beam cesium vapour magnetometers mounted in the tail booms of a Beechcraft King Air and a Piper Navajo. The nominal traverse and control line spacings were 400 m and 2400 m, and the aircraft flew at a nominal terrain clearance of 150 m. Travers lines were oriented N45°E with orthogonal control lines.","Science and technology","Yukon Geological Survey,","Yukon Geological Survey","geology@yukon.ca","Yukon Geological Survey","","","OGL-Yukon-2.0","","","2018-07-05 10:07:02","2023-12-12 10:12:34","",""
95900,"information","The geometry and kinematic history of Cordilleran deformation at the Howard’s Pass shale-hosted massive sulphide deposit, Yukon: 1st year progress report","The shale-hosted massive sulphide Zn-Pb deposits of Howard’s Pass were deposited during the Silurian and subsequently deformed during the Cretaceous Cordilleran orogeny. A recent model proposes that the deposits are hosted within a regional thrust duplex with strong transposition of bedding. This study aims to test this model and is focused on the XY group of deposits. Lithostratigraphic mapping and structural observations indicate one main phase of folding, F1, and the XY group of deposits is located on the southern limb of a macroscopic F1 syncline. F1 folds are steeply inclined and gently plunging to the WNW–NW. A regionally developed, steep, NE dipping, cleavage, S1, is axial planar to the F1 folds across Howard’s Pass. S1 manifests as a slaty cleavage comprising pervasively developed dissolution seams. WNW and NNE striking extensional faults overprint F1 folds. No shear fabrics or evidence for transposition of bedding were identified.","Science and technology","Yukon Geological Survey,","Yukon Geological Survey","geology@yukon.ca","Yukon Geological Survey","","","OGL-Yukon-2.0","","","2021-01-18 02:01:25","2023-12-12 10:12:34","",""
41992,"information","Gold-Silver Deposits and Occurrences in Yukon Territory","Map and report listing information on 419 mineral ocurrences in Yukon that contain noteworthy amounts of gold and/or silver. A capsule description of the occurrence's geology is present along with a list of the significant ore minerals. This is followed by information on the metal content of the occurrence and extent of exploration and development work. Accompanying this report is a 1:2,000,000-scale map of gold-silver deposits and occurrences in the Yukon Territory.","Science and technology","Yukon Geological Survey,","Yukon Geological Survey","geology@yukon.ca","Yukon Geological Survey","","","OGL-Yukon-2.0","","","2011-04-04 03:04:23","2023-12-12 10:12:34","",""
41993,"information","1987 Yukon Mining and Exploration Overview","This report provides an overview of Yukon mining and exploration for 1987, including placer mining.  It is a condensed version of Yukon Exploration 1987 and provides information on only select properties.","Science and technology","Yukon Geological Survey,","Yukon Geological Survey","geology@yukon.ca","Yukon Geological Survey","","","OGL-Yukon-2.0","","","2011-04-04 03:04:23","2023-12-12 10:12:34","",""
41994,"information","Yukon Placer Mining Industry 1989-1990","This volume is a compilation of two types of data: placer mining inspection reports and placer publications by government and industry sources. Mining inspection reports were compiled from site visits conducted by the Placer Mining Inspection Unit from 1989 to 1990. This report differs from the preceding volume ""Yukon Placer Mining and Exploration 1985 to 1988"" in that it does not contain summaries of Placer Exploration Programs filed for assessment credit.","Science and technology","Yukon Geological Survey,","Yukon Geological Survey","geology@yukon.ca","Yukon Geological Survey","","","OGL-Yukon-2.0","","","2011-04-04 03:04:23","2023-12-12 10:12:34","",""
41995,"information","Yukon Quaternary Geology - Volume 1 - 1996","These Quaternary research papers summarize the recent work of Quaternary scientists working in various areas of the Yukon. They are based on studies by government geologists, graduate theses and doctoral dissertations. This volume is the first in a series of publications which will document Quaternary research being done in Yukon in fields of surficial geology, placer geology, glacial history and geomorphology.","Science and technology","Yukon Geological Survey,","Yukon Geological Survey","geology@yukon.ca","Yukon Geological Survey","","","OGL-Yukon-2.0","","","2011-04-04 03:04:23","2023-12-12 10:12:34","",""
41996,"information","A Brief History of Placer Mining in the Yukon","A Brief History of Placer Mining in the Yukon includes discussions on topics such as early gold discoveries, history of the Klondike Gold Rush, mining methods, dredging, placer gold exploration, etc.","Science and technology","Yukon Geological Survey,","Yukon Geological Survey","geology@yukon.ca","Yukon Geological Survey","","","OGL-Yukon-2.0","","","2011-04-04 03:04:23","2023-12-12 10:12:34","",""
41998,"information","Volcanic-associated massive sulphide (VMS) mineralization in the Yukon-Tanana Terrane and coeval strata of the North American miogeocline, in the Yukon and adjacent areas","Discovery of the volcanic-associated massive sulphide (VMS) Kudz Ze Kayah (KZK) deposit in 1994, closelyfollowed by the discovery of the Wolverine VMS deposit, resulted in a period of intense exploration activity in Yukon. This led to the discovery of additional VMS mineralization that includes GP4F, Ice and significant new reserves at Fyre Lake. Numerous VMS prospects were identified.

The Fyre Lake, KZK, GP4F, Wolverine, and Ice VMS deposits are hosted by the Yukon-Tanana Terrane (YTT) in the Finlayson Lake district of southeastern Yukon. The Fyre Lake deposit (8 200 000 tonnes of 2.1% Cu and 0.73 g/t Au) is stratigraphically lowest and occurs in mafic metavolcanic rocks of the Devonian to Mississippian Grass Lakes succession. The KZK and GP4F deposits (13 000 000 tonnes of 5.5% Zn, 1% Cu, 1.3% Pb, 125 g/t Ag and 1.2 g/t Au and 1 500 000 tonnes of 6.4% Zn, 3.1% Pb, 0.1% Cu, 89.7 g/t Ag and 2.0 g/t Au, respectively) are within the Devonian to Mississippian succession but lie stratigraphically above Fyre Lake in felsic metavolcanic
rocks. The Wolverine deposit (6 237 000 tonnes of 12.66% Zn, 1.33% Cu, 1.55% Pb, 370.9 g/t Ag and 1.76 g/t Au) is hosted by Carboniferous rhyolitic metavolcanic rocks and carbonaceous argillite of the Wolverine succession. The Ice deposit (4 561 863 tonnes of 1.48% Cu ) occurs highest in the stratigraphy and is hosted within late Palaeozoic mafic metavolcanic and associated metasedimentary rocks of the Campbell Range succession.

The YTT underlies a large part of Yukon, east-central Alaska and parts of British Columbia. VMS mineralization occurs within rocks of the YTT in the Dawson and Glenlyon areas of Yukon, in the Teslin-Rancheria area in Yukon and adjacent British Columbia, and in several areas within Alaska, as well as in the Finlayson Lake area of the Yukon. In the Dawson area, which lays adjacent to the massive-sulphide-rich Finlayson Lake district (before approximately 425 km of right lateral movement on the Tintina Fault), VMS prospects are hosted in Late Devonian to mid-Mississippian Nasina Assemblage and Permian Klondike Schist. In the Glenlyon area, massive sulphide mineralization and chert horizons occur within a belt of rocks that is at least 20 km long. In the Teslin-Rancheria area and adjacent northern British Columbia, several VMS prospects have been identified.

The Alaskan VMS occurrences are in the Delta, Bonnifield and Trident Glacier districts. Exploration during this period was not confined to the YTT but extended into rocks of the North American miogeocline that are coeval, and possibly correlative, with Devono-Mississippian strata of the YTT. This led to the discovery of additional resources at the Marg and Wolf VMS deposits. The Marg deposit (5 527 002 tonnes of 1.76% Cu, 2.46% Pb, 4.60% Zn, 62.7 g/t Ag and 1.0 g/t Au) occurs in the Selwyn Basin within a Devonian to Mississippian sequence of carbonaceous siliceous phyllite, quartz-muscovite and quartz-chlorite phyllite and massive quartzite. These strata also host the Jane prospect. The Wolf deposit (4.1 million tonnes of 6.2% Zn, 1.8% Pb and 84 g/t Ag) occurs in the Pelly-Cassiar Platform within the Devono-Mississippian Pelly Mountains volcanic belt and is hosted by felsic metavolcanic and associated metasedimentary rocks. Numerous other VMS prospects, including MM, occur throughout the length of this 80-km-long volcanic belt.

The newly defined VMS deposits are comparable in size to the average Canadian VMS deposit indicating the
discoveries are significant. Mineralization in the YTT occurs in Late Devonian to Permian strata thus there are
several prospective horizons and the potential for additional discoveries is significant.","Science and technology","Yukon Geological Survey,","Yukon Geological Survey","geology@yukon.ca","Yukon Geological Survey","","","OGL-Yukon-2.0","","","2011-04-04 03:04:23","2023-12-12 10:12:34","",""
42001,"information","Use of Diffuser Systems for Dispersion of Placer Mining Effluent","Placer mining involves washing stream gravel to separate and save free gold particles. Usually a placer mine must discharge excess effluent water, which contains some residual suspended fine silt and clay particles, from a settling pond, back into the stream. This study examines the applicability of introducing placer effluent through a diffuser to lessen environmental impact.

A diffuser is a mechanism which introduces effluent fluid into the main current of a receiving stream so that mixing and dispersion are facilitated. A diffuser usually consists of a header pipe with one or more discharge ports. Effluent is ejected from the ports at high velocity into the receiving water. Performance of the diffuser depends on the diameter, spacing, and angle of the ports in relation to the water column.

Diffusers are used effectively in many industrial applications. Computer programs have been developed which predict the effluent plume from a diffuser, using input data from both the receiving stream and the effluent discharge. We used the CORMIX model, which was developed for the U.S. Environmental Protection Agency. This program can also be used in the design of diffusers.

We modelled two series of scenarios using receiving water data for the Fortymile River. In one series, we varied the concentration of suspended solids in the effluent. In the other series, we varied the flow rate of the effluent. In alll cases from both of these series of models, the CORMIX program predicted that the effluent diffused into the receiving water rapidly. A water quality objective of 12.5 mg of suspended sediment per litre of water was achieved in a very short distance downstream of the diffuser.

We also used the CORMIX model to predict effluent behaviour in some hypothetical receiving streams. These scenarios showed that the larger the receiving stream, the better the diffusion rate. It also showed that diffusers would not be as effective on small streams where large effluent concentrations are discharged. Dilution is limited by the flow rate of the receiving water.

The CORMIX model cannot predict whether sediment from the effluent plume will settle out on the streambed. Our team hydrologist examined the question of potential sedimentation by using the following techniques:: comparing background to introduced sediment levels, calculating the shear/fall velocity ratio for the sediment, comparison to flume testing, and comparison to other field investigations. He predicted that in the example of the Fortymile River using our mine effluent parameters, there would be little or no sediment deposited on the streambed from a diffuser installation.

The use of diffuser systems to disperse placer effluent into receiving water appears to be an effective way of mitigating the impact of placer mining on the aquatic environment, providing there is adequate flow in the receiving stream. Effluent is dispersed into the stream flow, reducing the possibility of sedimentation of the stream substrate.","Science and technology","Yukon Geological Survey,","Yukon Geological Survey","geology@yukon.ca","Yukon Geological Survey","","","OGL-Yukon-2.0","","","2011-04-04 03:04:23","2023-12-12 10:12:34","",""
42002,"information","Geological, Geochemical and Geophysical Exploration for Diamonds in Yukon","The world production of diamonds in 1990 was more than 100 million carats (metric carats, or CM; 1 carat = 0.2 grams), compared to 75 million in 1985, and 15 million in 1950. This represents a more than 14% per year growth rate. The value of 1990 production was about US$4.5 billion (1992 US$), and diamond is the fourth-ranked commodity in the world in terms of value, after Fe, Au, Cu, and Zn. Primary sources of diamonds are the mantle-derived igneous rocks eclogite and peridotite, brought to the surface by rare ultrabasic magmas, kimberlite and lamproite being the most common. Secondary diamond deposits, such as the marine deposits of southwest Africa, are derived from primary sources by weathering processes that acted for several million years to transport and concentrate diamonds at favourable localities.

Of approximately 5,000 known kimberlites world-wide, fewer than 50 are or have been mined successfully. There have been fewer than 15 major producers (more than 3 million carats/year), with only 6 major discoveries made in the last 50 years. The Point Lake pipe, the first discovered in the Lac De Gras kimberlite field in Canada's Northwest Territories, is potentially another major poducing pipe. The Point Lake discovery is a clear success story in diamond exploration, and as such, it is given a brief review here. As the surrounding kimberlite field is still undergoing exploration, the information available is incomplete, and estimates of the importance of diamond deposits are preliminary. However, initial results at the time of writing indicate strong potential for one or several diamond mines to be developed in the Northwest Territories.

Why explore for diamonds in North America?
- North America has the largest craton and stable platform area in the world.
- Relative to Siberia and South Africa, hundreds of kimberlites remain to be discovered.
- North America is underexplored for diamonds.
- Large gem diamonds have been found as alluvials in North America.
- Several areas are known to have favourable mineral chemistry.
- Operating costs of open-pit kimberlite mines are very low.
- Capital costs are similar to other mines; tailings are non-acid generating, and no strong chemicals are used during extraction.
- Transport costs for final products are negligible.
- Diamond prices generally increase at a level that keeps pace or exceeds inflation.
- The occasional large diamond found during production can be regarded as a bonus (a 100-carat flawless gem can be sold for about US$1.7 million).","Science and technology","Yukon Geological Survey,","Yukon Geological Survey","geology@yukon.ca","Yukon Geological Survey","","","OGL-Yukon-2.0","","","2011-04-04 03:04:23","2023-12-12 10:12:34","",""
42003,"information","Investigation into the Reprocessing of Elsa Tailings","This project was undertaken to evaluate the potential to economically recover additional metal values from the 4.6 million tons of Keno Hill flotation tailings which grades 3-4 oz/t silver, 0.8% lead and 0.9% zinc.

The study determined that the higher grade portion of the tailing, containing some 1.0 million tons at 5.35 oz/t Ag, responds well to cyanide heap leaching with a silver recovery of 50-60%. The testing data suggests that heap leaching is economically feasible at the current silver price of $US5.50/ounce and a currency exchange rate of 1.35 in favour of the US dollar.

The response to gravity and flotation concentration was poor.","Science and technology","Yukon Geological Survey,","Yukon Geological Survey","geology@yukon.ca","Yukon Geological Survey","","","OGL-Yukon-2.0","","","2011-04-04 03:04:23","2023-12-12 10:12:34","",""
42004,"information","Natural Land Reclamation for Mineral Exploration Properties & Placer Mines in Yukon","The Canadian Environmental Assessment Act legislates that development activities requiring federal permits be assessed through environmental screening, and environmental impacts mitigated with existing technology. The implementation of Mining Land Use Regulations on mineral claims in Yukon will require routine environmental impact assessment within a permitting system. A database of known environmental impacts related to mineral exploration and placer mining will thus make the screening process more efficient. This particular project focuses on three different mining districts of Yukon, and provides information on soil, overburden, vegetation, slope stability, and permafrost conditions on disturbed and undisturbed surfaces related to mineral exploration and placer mining.
Disturbances included in this study consist of trenches (dating from 1912 to 1993), drill pads (dating from 1967 to 1993), ripped and compacted surfaces associated with roads and camps, and placer mine highwalls and tailings piles (dating from 1911 to 1993). Observations include detailed vegetation description(tree, tall shrubs, low shrub, dwarf shrub, herb, graminoid, and mosses and lichens layers), soil texture and basic chemistry, slope, height, width and age of the trenches, elevation, aspect and latitude of the site, and description of any active processes such as slope erosion, permafrost degradation, failure, sheet erosion and gullying.
The preferred sites and rates of natural revegetation by pioneer species were related to disturbance characteristics, such as trench orientation, surface compaction, and presence or absence of permafrost. Recommendations on site abandonment and treatment were formulated using analysis of the above data. Factors most important to the natural revegetation of sites were identified as elevation (alpine versus subalpine), at least 20 centimetres of soil with at least 20% fine-grained matrix, and stable slopes with angles of 45 degrees or less. Trench design, mixture of organic matter with the surface material, aspect and slope position of the disturbance are significant factors, but of lesser importance. Placer mined sites located in fine-grained, organic and ice-rich sites were found to reclaim both cuts and tailings successfully within five to ten years.
The least intrusive approach to site reclamation is to abandon disturbances in a state such that natural colonization could take place within a few years, and the site re-integrated to its ecosystem within a reasonable period of time. However, in some cases, slopes will not reach stable profile without the help of surface vegetation. More aggressive revegetation procedures may then be required (contouring and/or seeding), especially when dealing with high alpine sites. A revegetation strategy should take into consideration the local ecosystem and plant succession. Species imported to the area should facilitate, not eliminate, the re-entry of local pioneer forb, grass and shrubs species. A program designed to test the optimum conditions for site abandonment could provide further information on physical requirement for physical design of abandoned features and possible seed/fertilizer mixtures in alpine and subalpine areas.","Science and technology","Yukon Geological Survey,","Yukon Geological Survey","geology@yukon.ca","Yukon Geological Survey","","","OGL-Yukon-2.0","","","2011-04-04 03:04:23","2023-12-12 10:12:34","",""
