schema_type,title,file_id,notes,organization_title,date_of_request,response_type,fees,language,license_id,metadata_created,metadata_modified,dkan_url_path
access-requests,21-0233,21-0233,"Any Privacy Impact Assessments for systems that contain customer data from Jan 2017 to present day. Include systems for licensee applicants. 
Timeframe: 01 January 2017 - 03August 2021",Yukon Liquor Corporation,2021-08-11,granted_in_part,No,,OGL-Yukon-2.0,2021-10-04 13:27:16,2024-10-15 10:18:44,https://open.yukon.ca/access-information/access-summary/21-0233
access-requests,21-0249,21-0249,"Any messages sent to or from ""patricia.Living@yukon.ca"" from 11 a.m. on Aug. 4, 2021, until 11:59 p.m. on Aug. 6. or text messages sent to or from for the same time frame regarding records related to the Aug. 4 COVID-19 update . 
Timeframe: 04 August 2021 - 06 August 2021",Health and Social Services,2021-08-10,granted_in_full,No,,OGL-Yukon-2.0,2021-10-04 13:44:05,2024-12-31 16:07:18,https://open.yukon.ca/access-information/access-summary/21-0249
access-requests,21-0257,21-0257,"Any records containing ""Hanley"". Please narrow search to communications branch. 
Timeframe: 10 August 2021 - 10 August 2021",Executive Council Office,2021-08-19,granted_in_full,No,,OGL-Yukon-2.0,2021-10-06 11:39:59,2024-12-31 16:09:22,https://open.yukon.ca/access-information/access-summary/21-0257
access-requests,21-0255,21-0255,"Any grant agreements, contracts, data-sharing agreements or memoranda of understanding between your department and Canada Health
Infoway. Please include any appendices or accompanying briefing materials for these agreements. 
Timeframe: 01 January 2017 - 10 August 2021",Health and Social Services,2021-08-12,granted_in_full,No,,OGL-Yukon-2.0,2021-10-07 14:51:35,2024-01-30 20:19:59,https://open.yukon.ca/access-information/access-summary/21-0255
access-requests,21-0293,21-0293,"Information pertaining to the safe consumption site that has been slated for 6th avenue. Anything involving public consultations (planning for them, results, attendance, advertising), any internal emails that were exchanged on the subject, any policy or briefing notes, any objections or concerns that were raised by anyone, any proponents for the project, anything involving the city of Whitehorse (what consultation has been done with them regarding local residences, infrastructure (the park, streetlights, crime, etc.)), any correspondences with the RCMP or its administrators on the topic, any inquiries about the location, or discussion on where to put the site. Keywords ""supervised consumption"", ""safe consumption"", ""supervised injection"", ""safe injection"", ""SCS"", ""consumption site"", ""injection site"", ""6189 6th Avenue"", ""harm reduction"". Timeframe: 01 January 2021 - 10 August 2021",Yukon Liquor Corporation,2021-09-17,no_records_found,No,,OGL-Yukon-2.0,2021-10-08 10:40:10,2023-01-19 11:06:58,https://open.yukon.ca/access-information/access-summary/21-0293
access-requests,21-0294,21-0294,"Information pertaining to the safe consumption site that has been slated for 6th avenue. Anything involving public consultations (planning for them, results, attendance, advertising), any internal emails that were exchanged on the subject, any policy or briefing notes, any objections or concerns that were raised by anyone, any proponents for the project, anything involving the city of Whitehorse (what consultation has been done with them regarding local residences, infrastructure (the park, streetlights, crime, etc.)), any correspondences with the RCMP or its administrators on the topic, any inquiries about the location, or discussion on where to put the site. Keywords ""supervised consumption"", ""safe consumption"", ""supervised injection"", ""safe injection"", ""SCS"", ""consumption site"", ""injection site"", ""6189 6th Avenue"", ""harm reduction"". Timeframe: 01 January 2021 - 10 August 2021",Yukon Housing Corporation,2021-09-17,no_records_found,No,,OGL-Yukon-2.0,2021-10-08 10:47:35,2023-01-19 11:07:02,https://open.yukon.ca/access-information/access-summary/21-0294
access-requests,21-0219,21-0219,"Emails, memoranda, decks, or any other documents regarding the decision to reduce COVID-19 restrictions effective August 4, 2021. Omit duplicate emails. Request that the department not use discretionary exceptions to disclosure. Timeframe: 01 June 2021 - 29 July 2021",Executive Council Office,2021-08-06,granted_in_part,No,,OGL-Yukon-2.0,2021-10-08 10:51:45,2024-01-11 15:09:07,https://open.yukon.ca/access-information/access-summary/21-0219
access-requests,21-0227,21-0227,"Emails, memoranda, decks, or any other documents regarding the decision to reduce COVID-19 restrictions effective August 4, 2021. Timeframe: 01 June 2021 - 04 August 2021",Health and Social Services,2021-08-06,granted_in_full,No,,OGL-Yukon-2.0,2021-10-12 09:49:59,2024-02-06 19:41:25,https://open.yukon.ca/access-information/access-summary/21-0227
access-requests,21-0251,21-0251,"Any records containing ""https://www.cbc.ca/news/canada/north/hidden-valley-educational-assistant-lawsuit-1.6106346"" along with any associated records/files (ex. attachments, replies to records with that link but don't necessarily contain the link itself). 
Timeframe: 16 July 2021 - 08 August 2021.",Justice,2021-08-13,granted_in_part,No,,OGL-Yukon-2.0,2021-10-12 10:24:09,2024-12-31 16:08:25,https://open.yukon.ca/access-information/access-summary/21-0251
access-requests,21-0228,21-0228,Funding given to Yukonstruct - The amount of funding and what each amount was for specifically. Thank you. Timeframe: 01 April 2020 - 03 August 2021,Economic Development,2021-08-09,granted_in_full,No,,OGL-Yukon-2.0,2021-10-12 13:44:37,2023-01-19 11:09:05,https://open.yukon.ca/access-information/access-summary/21-0228-0
access-requests,21-0252,21-0252,Funding given to Yukonstruct - The amount of funding and what each amount was for specifically. Thank you. Timeframe: 01 April 2019 - 31 March 2020,Economic Development,2021-08-17,granted_in_full,No,,OGL-Yukon-2.0,2021-10-12 13:47:39,2023-01-19 11:09:10,https://open.yukon.ca/access-information/access-summary/21-0252
access-requests,21-0253,21-0253,Funding given to Yukon University's Innovation & Entrepreneurship unit. The exact amount of funding for each time funding was given and a precise description of what exactly each funding amount was for. Yukon University was previously known as Yukon College and Innovation & Entrepreneurship was previously known as Cold Climate Innovation. Timeframe: 01 April 2019 - 10 August 2021,Economic Development,2021-08-18,granted_in_full,No,,OGL-Yukon-2.0,2021-10-12 13:50:21,2023-01-19 11:09:28,https://open.yukon.ca/access-information/access-summary/21-0253
access-requests,21-0262,21-0262,"Funding provided from the Government of Yukon to the Yukon Fish and Game Association; funding information such as transfer payment agreement and dollar values. Timeframe: April 01, 2019 - March 31, 2020",Environment,2021-08-20,granted_in_part,No,,OGL-Yukon-2.0,2021-10-14 16:40:23,2024-01-17 10:13:02,https://open.yukon.ca/access-information/access-summary/21-0262
access-requests,21-0243,21-0243,"The Appeal Panel issued a formal DECISION on May 8, 2020 in response to an appeal of an OHS matter. On page 3 of that decision is a list of documents that were before the Appeal Panel. The following records, found in the list of documents, are requested: 1) Submissions from Employer, February 5, 2020 2) Response submissions from the Worker, February 15, 2020 3) Response submissions from the Director, February 25, 2020 4) Reply submissions from the Employer, March 3, 2020 5) YWCHSB Inspection Report to the Employer (possibly dated June 6, 2019) 
Timeframe: 23 July 2019 - 08 May 2020",Yukon Workers’ Compensation Health and Safety Board,2021-08-06,granted_in_part,No,,OGL-Yukon-2.0,2021-10-15 14:31:00,2024-01-17 10:09:24,https://open.yukon.ca/access-information/access-summary/21-0243
access-requests,21-0258,21-0258,"Any records containing ""Hanley."" Please narrow search to communications branch. Timeframe: 10 August
2021 - 10 August 2021",Health and Social Services,2021-08-17,granted_in_part,No,,OGL-Yukon-2.0,2021-10-18 11:47:36,2024-01-17 10:12:35,https://open.yukon.ca/access-information/access-summary/21-0258
access-requests,21-0261,21-0261,"Covid vaccine clinics held in which communities during which time frames, starting the beginning of 2021. Timeframe: 01 January 2021 - 17 August 2021",Health and Social Services,2021-08-20,granted_in_full,No,,OGL-Yukon-2.0,2021-10-19 09:25:51,2023-01-19 11:09:53,https://open.yukon.ca/access-information/access-summary/21-0261
access-requests,21-0245,21-0245,"Please provide copies of all correspondence between RCMP and Hidden Valley principal John Duclos between the dates of Sept. 1, 2019 to present. Please omit duplicate emails. Timeframe: 01 September 2019 - 05 August 2021",Education,2021-08-10,granted_in_part,No,,OGL-Yukon-2.0,2021-10-25 13:31:12,2023-01-19 11:29:01,https://open.yukon.ca/access-information/access-summary/21-0245
access-requests,21-0248,21-0248,"Any records related to sexual abuse, sexual assault, sexual interference, inappropriate touching or body check by an educational assistant at Hidden Valley Elementary School against a student. Timeframe: 17 November 2019 - 31 January 2021 
ADDITIONAL INFORMATION:
The search for records should be initially constrained to:
- Office of the Deputy Minister, Education 
- Office of the Director, Community Relations and Engagement
-Office of the Director, Finance, Systems and Administration 
- Office of the Director Human Resource Services
- Office of the Assistant Deputy Minister Schools and Student Services (and all sub-branches, EXCLUDING  Director Technology and Student Information) 

Note: published records were updated in accordance with IPC recommendations (investigation ATP-Com-2021-10-147).",Education,2021-08-13,granted_in_part,No,,OGL-Yukon-2.0,2021-10-25 13:53:41,2023-01-19 11:31:32,https://open.yukon.ca/access-information/access-summary/21-0248
access-requests,21-0250,21-0250,"Any records containing ""https://www.cbc.ca/news/canada/north/hidden-valley-educational-assistant-lawsuit-1.6106346"" along with any associated records/files (ex. attachments, replies to records with that link but don't necessarily contain the link itself). Timeframe: 16 July 2021 - 08 August 2021 
ADDITIONAL INFORMATION:
The search for records should be initially constrained to:
Office and unit of the Director, Community Relations and Engagement 
Office and unit of the Director Human Resource Services 
Office and branch of the Assistant Deputy Minister Schools and Student Services",Education,2021-08-13,granted_in_part,No,,OGL-Yukon-2.0,2021-10-25 14:02:29,2024-01-17 10:10:30,https://open.yukon.ca/access-information/access-summary/21-0250
access-requests,21-0256,21-0256,Any records related to a media request sent to Erin McDonald from Jackie Hong on Aug. 2 about Hidden Valley Elementary School. Timeframe - 11:24 a.m. on Aug. 2 to 11:59 p.m. Aug. 4. Timeframe: 02 August 2021 - 04 August 2021,Education,2021-08-11,granted_in_full,No,,OGL-Yukon-2.0,2021-10-25 14:06:29,2024-01-30 20:22:39,https://open.yukon.ca/access-information/access-summary/21-0256
access-requests,21-0295,21-0295,"Information pertaining to the safe consumption site that has been slated for 6th avenue. Anything involving public consultations (planning for them, results, attendance, advertising), any internal emails that were exchanged on the subject, any policy or briefing notes, any objections or concerns that were raised by anyone, any proponents for the project, anything involving the city of Whitehorse (I want to know what consultation has been done with them regarding local residences, infrastructure (the park, streetlights, crime, etc.), any correspondences with the Royal Canadian Mounted Police or its administrators on the topic, any inquiries about the location, or discussion on where to put the site. Keywords include ""supervised consumption"", ""safe consumption"", ""supervised injection"", ""safe injection"", ""Safe Consumption Site (SCS)"", ""consumption site"", ""injection site"", ""6189 6th Avenue"", ""harm reduction"". Timeframe: 01 January 2021 - 10 August 2021",Yukon Housing Corporation,2021-09-17,granted_in_full,No,,OGL-Yukon-2.0,2021-10-26 13:35:57,2023-01-19 11:10:22,https://open.yukon.ca/access-information/access-summary/21-0295
access-requests,21-0282,21-0282,"Request records or confirmation of septic holding tank and/or septic field as installed on Lot 1033, Grizzly Valley, Yukon and YESAB file 2018-0030. Timeframe: 01 January 2015 - 31 December 2018.",Environment,2021-09-13,granted_in_part,No,,OGL-Yukon-2.0,2021-11-01 09:28:09,2024-01-17 10:13:21,https://open.yukon.ca/access-information/access-summary/21-0282
access-requests,21-0296,21-0296,"Any information pertaining to the safe consumption site that has been slated for 6th avenue. Anything involving public consultations (planning for them, results, attendance, advertising), any internal emails that were exchanged on the subject, any policy or briefing notes, any objections or concerns that were raised by anyone, any proponents for the project, anything involving the city of Whitehorse (what consultation has been done with them regarding local residences, infrastructure (the park, streetlights, crime, etc.)), any correspondences with the Royal Canadian Mounted Police or its administrators on the topic, any inquiries about the location, or discussion on where to put the site. Keywords include ""supervised consumption"", ""safe consumption"", ""supervised injection"", ""safe injection"", ""Safe Consumption Site"", ""consumption site"", ""injection site"", ""6189 6th Avenue"", ""harm reduction"". Timeframe: 01 January 2021 - 10 August 2021",Justice,2021-09-17,no_records_found,No,,OGL-Yukon-2.0,2021-11-02 09:10:43,2023-01-19 11:13:41,https://open.yukon.ca/access-information/access-summary/21-0296
access-requests,21-0283,21-0283,"Further to ATIPP number A-8502 related to a Development Permit and or Discretionary Use Permit issued for a new abbatoir on Lot 1033, Grizzly Valley, Yukon AND referencing YESAB file number 2018-0030 we request records or confirmation of septic holding tank and/or septic field as installed on this property. Timeframe: 01 January 2015 - 31 December 2018",Health and Social Services,2021-09-13,granted_in_part,No,,OGL-Yukon-2.0,2021-11-02 12:24:19,2024-01-17 10:13:40,https://open.yukon.ca/access-information/access-summary/21-0283
access-requests,21-0277,21-0277,"Any documents estimating or anticipating the number of individuals that will make use of the supervised consumption site in a given period. In other words, how many individuals are anticipated will attend the site to consume substances per day/week/month or year? Timeframe: 01 May 2021 - 01 September 2021",Health and Social Services,2021-09-08,withheld_in_full,No,,OGL-Yukon-2.0,2021-11-03 12:23:11,2023-01-19 11:17:02,https://open.yukon.ca/access-information/access-summary/21-0277
access-requests,21-0302,21-0302,"Requesting the harvest data for sheep within each game management subzone for each year from 2016 through 2020 inclusive. Timeframe: January 1, 2016 - June 1, 2021.",Environment,2021-09-20,granted_in_full,No,,OGL-Yukon-2.0,2021-11-05 15:10:22,2024-01-24 15:38:00,https://open.yukon.ca/access-information/access-summary/21-0302
access-requests,21-0292,21-0292,"Any information pertaining to the safe consumption site that has been slated for 6th avenue. Anything involving public consultations (planning for them, results, attendance, advertising), any internal emails that were exchanged on the subject, any policy or briefing notes, any objections or concerns that were raised by anyone, any proponents for the project. Anything involving the city of Whitehorse (what consultation has been done with them regarding local residences, infrastructure (the park, streetlights, crime, etc.), any correspondences with the Royal Canadian Mounted Police or its administrators on the topic, any inquiries about the location, or discussion on where to put the site. Keywords might include ""supervised consumption"", ""safe consumption"", ""supervised injection"", ""safe injection"", ""Safe Consumption Site"", ""consumption site"", ""injection site"", ""6189 6th Avenue"", ""harm reduction"". Timeframe: 01 January 2021 - 10 August 2021",Yukon Police Council,2021-09-10,granted_in_part,No,,OGL-Yukon-2.0,2021-11-08 09:51:31,2024-01-11 15:31:30,https://open.yukon.ca/access-information/access-summary/21-0292
access-requests,21-0316,21-0316,"A complete copy of the press conference transcript from September 23, 2021 in which Yukon RCMP and the Department of Education admit error and issue an apology in relation to the Hidden Valley abuse investigation.",Executive Council Office,2021-09-29,no_records_found,No,,OGL-Yukon-2.0,2021-11-08 09:55:19,2023-01-19 11:18:21,https://open.yukon.ca/access-information/access-summary/21-0316
access-requests,21-0306,21-0306,"Ross River Public Works Building. Copies of the file on the construction of this Project, including financial information. Correspondences, including emails, as well as financial records, and agreements signed. 
Timeframe: November 1, 2009 - December 31, 2011.
REQUEST REVISED:
How much money YTG paid out to the consultant on this project. Payments made on this project, including who the payments were made to.",Highways and Public Works,2021-09-21,granted_in_part,No,,OGL-Yukon-2.0,2021-11-08 10:42:18,2024-12-31 16:10:28,https://open.yukon.ca/access-information/access-summary/21-0306
access-requests,21-0286,21-0286,"All correspondence, including notes, briefing notes, emails, memoranda and meeting minutes, relating to BMC Minerals Ltd.’s Kudz Ze Kayay Project in Yukon (“KZK Project”), authored or sent by the following persons:
- John Bailey, Dennis Berry, Christine Cleghorn, and Rebecca Turpin (Department of Environment)
- (collectively, the “Yukon Representatives”)

All corresponding, including notes, briefing notes, emails, memoranda and meeting minutes, relating to the KZK Project , sent to any one of the Yukon Representatives from any one of the following persons:
- The Honourable Seamus O’Regan, Jean Francois Tremblay, Jeff Labonte, and Rinaldo Jeanty (Natural Resources Canada);
- The Honourable Melanie Joly, Paula Issak, Rebecca Turpin, Margaret Buist, Lisa Dyer, Adrian Paradis, Carey Sibbald, and Krista Magee (Canadian Norther Economic Development Agency);
- The Honourable Bernadette Jordan, Timothy Sargent, David Carter, and Helene Marquis (Fisheries and Oceans Canada); and
- Laura Cabott, Dale Eftoda, Bryony McIntyre, Lawrence Joe, Dennie Nicloux, Steve Karam, and Andrew Reid (Yukon Environmental and Socio-Economic Assessment Board).
The time period: July 1, 2019 to October 31, 2020",Environment,2021-09-13,granted_in_part,No,,OGL-Yukon-2.0,2021-11-15 10:15:19,2024-01-17 10:15:33,https://open.yukon.ca/access-information/access-summary/21-0286
access-requests,21-0333,21-0333,"Any Issues Notes or Issues Alerts produced between this time period. Timeframe: July 12, 2021 - July 19, 2021",Justice,2021-10-20,no_records_found,No,,OGL-Yukon-2.0,2021-11-16 14:23:50,2023-01-19 11:18:36,https://open.yukon.ca/access-information/access-summary/21-0333
access-requests,21-0350,21-0350,"Copies of Whitehorse Correctional Centre weekly inmate canteen list (item and cost). Timeframe: April 2, 2021 - October 21, 2021",Justice,2021-10-27,granted_in_full,No,,OGL-Yukon-2.0,2021-11-17 14:02:17,2023-01-19 11:18:42,https://open.yukon.ca/access-information/access-summary/21-0350
access-requests,21-0303,21-0303,"No. 1 I would like to know the classification level of the EA or AA to CMOH for the past two years including recent past competitions from 6 months to present? I would like to know if this position has been reclassified in the past 2 years with the result if it was the case. I would like to know the remuneration of the position of EA or AA to CMOH for the past two years, under any conditions. 

No. 2 I would like the staffing requests for the most recent competitions for the EA or AA to CMOH from 6 months to present? Director of CRU was responsible for some of the staffing requests. 

No.3 I would also like to know if there are conversations about the positions level of the EA or AA of the CMOH, DCMOH and MOH for the last competitions (last 6 months to now between HR reps from HSS, CS and WCB, CMOH, DCMOH, MOH and CRU Director. 

Timeframe: April 1, 2018 - September 17, 2021",Health and Social Services,2021-10-13,granted_in_part,No,,OGL-Yukon-2.0,2021-11-19 07:16:18,2024-01-17 10:16:52,https://open.yukon.ca/access-information/access-summary/21-0303
access-requests,21-0327,21-0327,"We are requesting all records of any kind regarding the fatal accident that occurred on [details re date and place withheld] . Specifically, the accident that resulted in the death of [name withheld] . Timeframe: [withheld]
.
ADDITIONAL INFORMATION:
I can try to be clearer. We are requesting all records of any kind regarding the fatal accident that occurred on that occurred on public property in the [details re date and place withheld]. We are asking for any records, of any kind that relate to the accident that happened on either [details re date an place withheld] . This would be all file notes, phone call notes, inter office or inter staff memos, reports, drafts of reports or any written record or written record of verbal exchanges that relate in any way to the accident described above, including but not limited to discussions regarding whether this was a work place accident or not. Written records or notes of conversations with the coroners office or RCMP.",Yukon Workers’ Compensation Health and Safety Board,2021-10-14,withheld_in_full,No,,OGL-Yukon-2.0,2021-11-25 15:49:30,2023-01-19 11:18:50,https://open.yukon.ca/access-information/access-summary/21-0327
access-requests,21-0341,21-0341,"Copies of subpoenas issued to [names withheld] to attend a court hearing that was scheduled for Jan 17, 2018. Timeframe: Nov 21, 2017 - Jan 4, 2018",Yukon Workers’ Compensation Health and Safety Board,2021-10-25,no_records_found,,,OGL-Yukon-2.0,2021-11-25 16:09:57,2023-01-19 11:19:00,https://open.yukon.ca/access-information/access-summary/21-0341
access-requests,21-0312,21-0312,I am seeking the most recent Contribution Agreement between YTG and the Help and Hope for Families Society in Watson Lake.,Health and Social Services,2021-10-01,granted_in_part,No,,OGL-Yukon-2.0,2021-11-29 07:54:07,2024-01-17 10:18:38,https://open.yukon.ca/access-information/access-summary/21-0312
access-requests,21-0323,21-0323,"Any and all records, communications, and data of a white 2013 Peterbilt conventional tractor (Yukon Licence plate CJ937, and British Columbia licence plate LT 2304), driven by [NAME] for Hy’s North Transport Ltd., that attended the Yukon weigh scale stations between February 24, 2018 and February 27, 2018. The attached trailers had licence plates of 5KB9-24 (Alberta) and T 2304 (British Columbia). 
Any records, communications, and data that this semi-truck did not attend any or all Yukon weigh scale stations between February 24, 2018 and February 27, 2018. Provide any and all records, communications or data regarding its non-attendance.",Highways and Public Works,2021-10-12,granted_in_part,No,,OGL-Yukon-2.0,2021-11-30 09:15:36,2024-01-11 15:35:16,https://open.yukon.ca/access-information/access-summary/21-0323
access-requests,21-0335,21-0335,"accounting information in regards to Auto Glass purchases including Standing Offer Agreement and Non-Standing Offer Agreement items. How much was spent on glass, part numbers and who has been doing installations. 
Timeframe: January 1, 2018 to October 15, 2021",Highways and Public Works,2021-10-15,granted_in_part,No,,OGL-Yukon-2.0,2021-11-30 09:27:49,2024-12-31 16:13:52,https://open.yukon.ca/access-information/access-summary/21-0335
access-requests,21-0322,21-0322,"Bid number: RSO-RFP-2021-1-639 
SUPPLY AND DELIVERY OF PAVEMENT MARKING MATERIALS
Awarded on Monday April 19, 2021 Looking for a copy of each bid as submitted including any attachments, exceptions, detail prices.
The following are the awarded vendors for the bid:
-Ennis Paint Canada ULC – Roadway Traffic Products – ALX Exploration Services Inc. – Roadway Traffice Products",Highways and Public Works,2021-10-12,granted_in_part,No,,OGL-Yukon-2.0,2021-11-30 09:35:09,2024-12-31 16:12:53,https://open.yukon.ca/access-information/access-summary/21-0322
access-requests,21-0317,21-0317,"Data regarding how many clients visited the Whitehorse Emergency Shelter / Withdrawal management services during the pandemic. Data regarding how many clients have been turned away from the Whitehorse Emergency Shelter / Withdrawal management services during the pandemic. Data regarding how many clients are expected to utilize the safe consumption site (if any data is available) during the pandemic. Trying to get an understanding as to how many people regularly access these services/will access these services and if the pandemic has had any negative/positive impacts on usage. 

Timeframe: March 20, 2021 - September 29, 2021",Health and Social Services,2021-10-18,granted_in_part,No,,OGL-Yukon-2.0,2021-11-30 11:19:42,2024-01-17 10:19:23,https://open.yukon.ca/access-information/access-summary/21-0317
access-requests,21-0346,21-0346,"The number of Covid 19 Cases of the Unvaccinated and the vaccinated (break through) Timeframe: June 1, 2021 - October 19, 2021.
ADDITIONAL INFORMATION: For the number of cases of who are unvaccinated, are you interested in anything less than fully vaccinated (0 does, 1 dose, 2 dose and less than 14 days) or are you only interested in 0 doses? Yes, the more detailed breakdown would be appreciated.",Health and Social Services,2021-10-22,granted_in_full,No,,OGL-Yukon-2.0,2021-12-08 11:06:25,2024-02-06 19:45:00,https://open.yukon.ca/access-information/access-summary/21-0346
access-requests,21-0319,21-0319,"Please provide all records on any guidelines or policies that the Executive Council Office created on the Caretaker Convention and guidance for the territorial civil service on the Caretaker Convention for the general territorial election of 2021. 
Timeframe: January 1, 2020 - June 1, 2021  
NARROWED:
Interested in the caretaker convention guidelines themselves (by whatever name they are called), exclude emails from the remit. Guidelines on how ministers, MPs, and civil servants should conduct themselves during an election.",Executive Council Office,2021-10-07,granted_in_full,No,,OGL-Yukon-2.0,2021-12-08 11:29:33,2024-12-31 16:11:37,https://open.yukon.ca/access-information/access-summary/21-0319
access-requests,21-0334,21-0334,"Any Issues Notes or Issues Alerts produced between this time period. Timeframe: July 12, 2021 - July 19, 2021",Executive Council Office,2021-10-20,granted_in_part,No,,OGL-Yukon-2.0,2021-12-08 11:35:12,2024-01-11 15:36:30,https://open.yukon.ca/access-information/access-summary/21-0334
access-requests,21-0325,21-0325,"1. All records and communications pertaining to the isolation of the SARS-COV-2 viral culture for identification in testing. (actual hard evidence the SARS-COV-2 virus has been specifically isolated and identified.) 2. A list and/or Registry of all laboratories and/or other entities that the Yukon government has made contact with that posses an individual sample of SARS-COV-2 viral culture and isolation capacity for testing. Persons of interest to query : a) Tracy-Anne McPhee in her capacity as Yukon Health Minister or current occupant of that office.. b) Dr. Catherine Elliot in her capacity as Yukon's Chief Medical Officer or current occupant of that office. 
Timeframe: March 1, 2018 - October 8, 2021.",Health and Social Services,2021-11-02,no_records_found,No,,OGL-Yukon-2.0,2021-12-09 08:25:15,2023-01-19 11:19:58,https://open.yukon.ca/access-information/access-summary/21-0325
access-requests,21-0344,21-0344,I am looking to get records of contracts with Disabilities Services where parents were paid to care for their children. The policy currently says that is not allowed but I am spoken with others in the territory that have been exempt from that policy.,Health and Social Services,2021-10-22,no_records_found,,,OGL-Yukon-2.0,2021-12-09 08:26:51,2023-01-19 11:20:00,https://open.yukon.ca/access-information/access-summary/21-0344
access-requests,21-0369,21-0369,"Scientific evidence supporting the lifting of covid 19 restrictions and rational for keeping restrictions lifted. Vaccination status of covid 19 positive cases. Expected end date for vaccine mandate. Timeframe: July 1, 2021 - October 31, 2021",Executive Council Office,2021-11-16,no_records_found,No,,OGL-Yukon-2.0,2021-12-13 14:58:02,2023-01-19 11:20:02,https://open.yukon.ca/access-information/access-summary/21-0369
access-requests,21-0395,21-0395,"A copy of all communications from the Chief Medical Officer of Health to the Department regarding public health recommendations related to Covid-19. Timeframe: September 1, 2021 - November 8, 2021. 

ADDITIONAL INFORMATION: 
Looking for high level direction that would be provided to the Minister and his Deputy. Check with the DM’s office and Strategic Corporate Services.",Executive Council Office,2021-11-16,no_records_found,No,,OGL-Yukon-2.0,2021-12-13 15:02:54,2023-01-19 11:20:05,https://open.yukon.ca/access-information/access-summary/21-0395
