schema_type,title,notes,topics,tags,internal_contact_name,internal_contact_email,organization_title,custodian,homepage_url,internal_notes,language,license_id,publication_required_under_atipp_act,publication_type_under_atipp_act,metadata_created,metadata_modified,dkan_uri,dkan_node_id
information,2007–08 Operation and maintenance main estimates,"Operation and maintenance main estimates for the Government of Yukon 2007–08 Budget. 
This document was prepared by the Department of Finance under the direction of Management Board for the 1st Session of the 32nd Legislature, Yukon Legislative Assembly. April 2007, Whitehorse, Yukon.",Government and politics,"2007,2007-08,operation and maintenance main estimates,publication",Communications Advisor,misha.donohoe@gov.yk.ca,Finance,Finance,https://yukon.ca/budget,Harvest source: Finance_47. Harvest source modified: 2007-04-01 00:00:00. ,,OGL-Yukon-2.0,Yes,,2020-03-30 21:01:05,2022-03-31 17:37:45,https://open.yukon.ca/information/publications/2007–08-operation-and-maintenance-main-estimates,35191
information,2009–10 Supplementary estimates no. 2,"Supplementary estimates no. 2 for the Government of Yukon 2009–10 Budget. 
This document was prepared by the Department of Finance under the direction of Management Board for the 1st Session of the 32nd Legislature, Yukon Legislative Assembly. March 2010, Whitehorse, Yukon.",Government and politics,"2009,2009-10,publication,supplementary estimates 2",Communications Advisor,misha.donohoe@gov.yk.ca,Finance,Finance,https://yukon.ca/budget,Harvest source: Finance_47. Harvest source modified: 2010-03-01 00:00:00. ,,OGL-Yukon-2.0,Yes,,2020-03-30 21:01:53,2022-03-31 18:03:13,https://open.yukon.ca/information/publications/2009–10-supplementary-estimates-no-2,35225
information,2007–08 Capital main estimates,"Capital main estimates for the Government of Yukon 2007–08 Budget. 
This document was prepared by the Department of Finance under the direction of Management Board for the 1st Session of the 32nd Legislature, Yukon Legislative Assembly. April 2007, Whitehorse, Yukon.",Government and politics,"2007,2007-08,capital main estimates,publication",Communications Advisor,misha.donohoe@gov.yk.ca,Finance,Finance,https://yukon.ca/budget,Harvest source: Finance_47. Harvest source modified: 2007-04-01 00:00:00. ,,OGL-Yukon-2.0,Yes,,2020-03-30 21:01:53,2022-03-31 17:37:40,https://open.yukon.ca/information/publications/2007–08-capital-main-estimates,35249
information,2000–01 Supplementary estimates no. 2,"Supplementary estimates no. 2 for the Government of Yukon 2000–01 Budget. 
This document was prepared by the Department of Finance under the direction of Management Board for the 2nd Session of the 30th Legislature, Yukon Legislative Assembly. October 2000, Whitehorse, Yukon.",Government and politics,"2000,2000-01,publication,supplementary estimates 2",Communications Advisor,misha.donohoe@gov.yk.ca,Finance,Finance,https://yukon.ca/budget,Harvest source: Finance_47. Harvest source modified: 2000-10-01 00:00:00. ,,OGL-Yukon-2.0,Yes,,2020-03-30 21:02:25,2022-03-31 17:04:33,https://open.yukon.ca/information/publications/2000–01-supplementary-estimates-no-2,35273
information,2008–09 Budget,"Government of Yukon 2008–09 Budget. 
This document was prepared by the Department of Finance under the direction of Management Board for the 1st Session of the 32nd Legislature, Yukon Legislative Assembly. March 2008, Whitehorse, Yukon.",Government and politics,"2008,2008-09,budget,publication",Communications Advisor,misha.donohoe@gov.yk.ca,Finance,Finance,https://yukon.ca/budget,Harvest source: Finance_47. Harvest source modified: 2008-03-01 00:00:00. ,,OGL-Yukon-2.0,Yes,,2020-03-30 21:02:25,2025-05-16 11:33:51,https://open.yukon.ca/information/publications/2008–09-budget,35281
information,2000–01 Public Accounts,"Public Accounts for the Government of Yukon 2000–01 Budget. 
This document was prepared by the Department of Finance under the direction of Management Board for the 2nd Session of the 30th Legislature, Yukon Legislative Assembly. October 2001, Whitehorse, Yukon.""",Government and politics,"2000,2000-01,public accounts,publication",Communications Advisor,misha.donohoe@gov.yk.ca,Finance,Finance,https://yukon.ca/budget,Harvest source: Finance_47. Harvest source modified: 2001-10-01 00:00:00. ,,OGL-Yukon-2.0,Yes,,2020-07-20 11:07:41,2025-05-16 11:28:38,https://open.yukon.ca/information/publications/2000–01-public-accounts,35286
information,2002–03 Operation and maintenance main estimates,"Operation and maintenance main estimates for the Government of Yukon 2002–03 Budget. 
This document was prepared by the Department of Finance under the direction of Management Board for the 2nd Session of the 30th Legislature, Yukon Legislative Assembly. April 2002, Whitehorse, Yukon.",Government and politics,"2002,2002-03,operation and maintenance main estimates,publication",Communications Advisor,misha.donohoe@gov.yk.ca,Finance,Finance,https://yukon.ca/budget,Harvest source: Finance_47. Harvest source modified: 2002-04-01 00:00:00. ,,OGL-Yukon-2.0,Yes,,2020-03-30 21:03:13,2022-03-31 17:17:00,https://open.yukon.ca/information/publications/2002–03-operation-and-maintenance-main-estimates,35322
information,2016–17 Main estimates,"Main estimates for the Government of Yukon 2016–17 Budget. 
This document was prepared by the Department of Finance under the direction of Management Board for the 1st Session of the 34th Legislature, Yukon Legislative Assembly. April 2016, Whitehorse, Yukon.",Government and politics,"2016,2016-17,main estimates,publication",Communications Advisor,misha.donohoe@gov.yk.ca,Finance,Finance,https://yukon.ca/budget,Harvest source: Finance_47. Harvest source modified: 2016-04-01 00:00:00. ,,OGL-Yukon-2.0,Yes,,2020-03-30 21:03:13,2024-02-01 07:14:02,https://open.yukon.ca/information/publications/2016–17-main-estimates,35335
information,2005–06 Budget,"Government of Yukon 2005–06 Budget. 
This document was prepared by the Department of Finance under the direction of Management Board for the 1st Session of the 31st Legislature, Yukon Legislative Assembly. March 2005, Whitehorse, Yukon.",Government and politics,"2005,2005-06,budget,publication",Communications Advisor,misha.donohoe@gov.yk.ca,Finance,Finance,https://yukon.ca/budget,Harvest source: Finance_47. Harvest source modified: 2005-03-01 00:00:00. ,,OGL-Yukon-2.0,Yes,,2020-03-30 21:04:18,2025-05-16 11:30:50,https://open.yukon.ca/information/publications/2005–06-budget,35371
information,Main estimates for the Government of Yukon 2017–18 Budget,"Main estimates for the Government of Yukon 2017–18 Budget. 
This document was prepared by the Department of Finance under the direction of Management Board for the 2nd Session of the 34th Legislature, Yukon Legislative Assembly. April 2017, Whitehorse, Yukon.",Government and politics,main estimates,Communications Advisor,misha.donohoe@gov.yk.ca,Finance,Finance,https://yukon.ca/budget,Harvest source: Finance_47. Harvest source modified: 2017-04-01 00:00:00. ,,OGL-Yukon-2.0,,,2020-07-20 11:11:34,2022-04-01 16:18:44,https://open.yukon.ca/information/publications/main-estimates-government-yukon-2017–18-budget,35376
information,2005–06 Capital main estimates,"Capital main estimates for the Government of Yukon 2005–06 Budget. 
This document was prepared by the Department of Finance under the direction of Management Board for the 1st Session of the 31st Legislature, Yukon Legislative Assembly. March 2005, Whitehorse, Yukon.",Government and politics,"2005,2005-06,capital main estimates,publication",Communications Advisor,misha.donohoe@gov.yk.ca,Finance,Finance,https://yukon.ca/budget,Harvest source: Finance_47. Harvest source modified: 2005-03-01 00:00:00. ,,OGL-Yukon-2.0,Yes,,2020-03-30 21:05:06,2022-03-31 17:30:37,https://open.yukon.ca/information/publications/2005–06-capital-main-estimates,35412
information,2004–05 Budget,"Government of Yukon 2004–05 Budget. 
This document was prepared by the Department of Finance under the direction of Management Board for the 1st Session of the 31st Legislature, Yukon Legislative Assembly. March 2004, Whitehorse, Yukon.",Government and politics,"2004,2004-05,budget,publication",Communications Advisor,misha.donohoe@gov.yk.ca,Finance,Finance,https://yukon.ca/budget,Harvest source: Finance_47. Harvest source modified: 2004-03-01 00:00:00. ,,OGL-Yukon-2.0,Yes,,2020-03-30 21:05:06,2025-05-16 11:31:15,https://open.yukon.ca/information/publications/2004–05-budget,35437
information,2003–04 Operation and maintenance main estimates,"Operation and maintenance main estimates for the Government of Yukon 2003–04 Budget. 
This document was prepared by the Department of Finance under the direction of Management Board for the 1st Session of the 31st Legislature, Yukon Legislative Assembly. February 2003, Whitehorse, Yukon.",Government and politics,"2003,2003-04,operation and maintenance main estimates,publication",Communications Advisor,misha.donohoe@gov.yk.ca,Finance,Finance,https://yukon.ca/budget,Harvest source: Finance_47. Harvest source modified: 2003-02-01 00:00:00. ,,OGL-Yukon-2.0,Yes,,2020-07-20 11:13:17,2022-03-31 17:22:55,https://open.yukon.ca/information/publications/2003–04-operation-and-maintenance-main-estimates,35442
information,2008–09 Public Accounts,"Public Accounts for the Government of Yukon 2008–09 Budget. 
This document was prepared by the Department of Finance under the direction of Management Board for the 1st Session of the 32nd Legislature, Yukon Legislative Assembly. October 2009, Whitehorse, Yukon.",Government and politics,"2008,2008-09,public accounts,publication",Communications Advisor,misha.donohoe@gov.yk.ca,Finance,Finance,https://yukon.ca/budget,Harvest source: Finance_47. Harvest source modified: 2009-10-01 00:00:00. ,,OGL-Yukon-2.0,Yes,,2020-03-30 21:06:26,2025-05-16 11:34:52,https://open.yukon.ca/information/publications/2008–09-public-accounts,35474
information,2018–19 Supplementary estimates no. 2,"Supplementary estimates no. 2 for the Government of Yukon 2018–19 Budget. 
This document was prepared by the Department of Finance under the direction of Management Board for the 2nd Session of the 34th Legislature, Yukon Legislative Assembly. March 2019, Whitehorse, Yukon.",Government and politics,"2018,2018-19,publication,supplementary estimates 2",Communications Advisor,misha.donohoe@gov.yk.ca,Finance,Finance,https://yukon.ca/budget,Harvest source: Finance_47. Harvest source modified: 2019-03-01 00:00:00. ,,OGL-Yukon-2.0,Yes,,2020-03-30 21:06:59,2022-04-01 16:20:54,https://open.yukon.ca/information/publications/2018–19-supplementary-estimates-no-2,35498
information,2000–01 Supplementary estimates no. 1,"Supplementary estimates no. 1 for the Government of Yukon 2000–01 Budget. 
This document was prepared by the Department of Finance under the direction of Management Board for the 1st Session of the 31st Legislature, Yukon Legislative Assembly. June 2000, Whitehorse, Yukon.",Government and politics,"2000,2000-01,publication,supplementary estimates 1",Communications Advisor,misha.donohoe@gov.yk.ca,Finance,Finance,https://yukon.ca/budget,Harvest source: Finance_47. Harvest source modified: 2000-06-01 00:00:00. ,,OGL-Yukon-2.0,Yes,,2020-07-20 11:19:14,2022-03-31 17:04:23,https://open.yukon.ca/information/publications/2000–01-supplementary-estimates-no-1,35521
information,2018–19 Supplementary estimates no. 1,"Supplementary estimates no. 1 for the Government of Yukon 2018-19 Budget. 
This document was prepared by the Department of Finance under the direction of Management Board for the 2nd Session of the 34th Legislature, Yukon Legislative Assembly. October 2018, Whitehorse, Yukon.",Government and politics,"2018,2018-19,publication,supplementary estimates 1",Communications Advisor,misha.donohoe@gov.yk.ca,Finance,Finance,https://yukon.ca/budget,Harvest source: Finance_47. Harvest source modified: 2018-10-01 00:00:00. ,,OGL-Yukon-2.0,Yes,,2020-03-30 21:07:31,2022-04-01 16:20:58,https://open.yukon.ca/information/publications/2018–19-supplementary-estimates-no-1,35534
information,2000–01 Main estimates,"Main estimates for the Government of Yukon 2000–01 Budget. 
This document was prepared by the Department of Finance under the direction of Management Board for the 1st Session of the 31st Legislature, Yukon Legislative Assembly. June 2000, Whitehorse, Yukon.",Government and politics,"2000,2000-01,main estimates,publication",Communications Advisor,misha.donohoe@gov.yk.ca,Finance,Finance,https://yukon.ca/budget,Harvest source: Finance_47. Harvest source modified: 2000-06-01 00:00:00. ,,OGL-Yukon-2.0,Yes,,2020-03-30 21:07:31,2025-05-16 11:28:30,https://open.yukon.ca/information/publications/2000–01-main-estimates,35554
information,2006–07 Capital main estimates,"Capital main estimates for the Government of Yukon 2006–07 Budget. 
This document was prepared by the Department of Finance under the direction of Management Board for the 1st Session of the 31st Legislature, Yukon Legislative Assembly. March 2006, Whitehorse, Yukon.",Government and politics,"2006,2006-07,capital main estimates,publication",Communications Advisor,misha.donohoe@gov.yk.ca,Finance,Finance,https://yukon.ca/budget,Harvest source: Finance_47. Harvest source modified: 2006-03-01 00:00:00. ,,OGL-Yukon-2.0,Yes,,2020-03-30 21:08:23,2022-03-31 17:34:01,https://open.yukon.ca/information/publications/2006–07-capital-main-estimates,35573
information,2007–08 Supplementary estimates no. 1,"Supplementary estimates no. 1 for the Government of Yukon 2007–08 Budget. 
This document was prepared by the Department of Finance under the direction of Management Board for the 1st Session of the 32nd Legislature, Yukon Legislative Assembly. October 2007, Whitehorse, Yukon.",Government and politics,"2007,2007-08,publication,supplementary estimates 1",Communications Advisor,misha.donohoe@gov.yk.ca,Finance,Finance,https://yukon.ca/budget,Harvest source: Finance_47. Harvest source modified: 2007-10-01 00:00:00. ,,OGL-Yukon-2.0,Yes,,2020-07-20 11:19:14,2022-03-31 17:37:50,https://open.yukon.ca/information/publications/2007–08-supplementary-estimates-no-1,35598
information,2001–02 Supplementary estimates no. 3,"Supplementary estimates no. 3 for the Government of Yukon 2001–02 Budget. 
This document was prepared by the Department of Finance under the direction of Management Board for the 1st Session of the 31st Legislature, Yukon Legislative Assembly. February 2002, Whitehorse, Yukon.",Government and politics,"2001,2001-02,publication,supplementary estimates 3",Communications Advisor,misha.donohoe@gov.yk.ca,Finance,Finance,https://yukon.ca/budget,Harvest source: Finance_47. Harvest source modified: 2002-02-01 00:00:00. ,,OGL-Yukon-2.0,Yes,,2020-03-30 21:09:39,2022-03-31 17:13:50,https://open.yukon.ca/information/publications/2001–02-supplementary-estimates-no-3,35626
information,2010–11 Supplementary estimates no. 1,"Supplementary estimates no. 1 for the Government of Yukon 2010–11 Budget. 
This document was prepared by the Department of Finance under the direction of Management Board for the 1st Session of the 32nd Legislature, Yukon Legislative Assembly. September 2010, Whitehorse, Yukon.",Government and politics,"2010,2010-11,publication,supplementary estimates 1",Communications Advisor,misha.donohoe@gov.yk.ca,Finance,Finance,https://yukon.ca/budget,Harvest source: Finance_47. Harvest source modified: 2010-09-01 00:00:00. ,,OGL-Yukon-2.0,Yes,,2020-03-30 21:09:39,2022-03-31 18:06:34,https://open.yukon.ca/information/publications/2010–11-supplementary-estimates-no-1,35636
information,2004–05 Supplementary estimates no. 3,"Supplementary estimates no. 3 for the Government of Yukon 2004–05 Budget. 
This document was prepared by the Department of Finance under the direction of Management Board for the 1st Session of the 31st Legislature, Yukon Legislative Assembly. October 2005, Whitehorse, Yukon.",Government and politics,"2004,2004-05,publication,supplementary estimates 3",Communications Advisor,misha.donohoe@gov.yk.ca,Finance,Finance,https://yukon.ca/budget,Harvest source: Finance_47. Harvest source modified: 2005-10-01 00:00:00. ,,OGL-Yukon-2.0,Yes,,2020-03-30 21:10:27,2022-03-31 17:26:30,https://open.yukon.ca/information/publications/2004–05-supplementary-estimates-no-3,35664
information,2018–19 Budget,"Government of Yukon 2018-19 Budget. 
This document was prepared by the Department of Finance under the direction of Management Board for the 2nd Session of the 34th Legislature, Yukon Legislative Assembly. October 2018, Whitehorse, Yukon.",Government and politics,"2018,2018-19,publication",Communications Advisor,misha.donohoe@gov.yk.ca,Finance,Finance,https://yukon.ca/budget,Harvest source: Finance_47. Harvest source modified: 2018-10-01 00:00:00. ,,OGL-Yukon-2.0,Yes,,2020-03-30 21:10:27,2025-05-16 11:39:18,https://open.yukon.ca/information/publications/2018–19-budget,35678
information,2006–07 Operation and maintenance main estimates,"Operation and maintenance main estimates for the Government of Yukon 2006–07 Budget. 
This document was prepared by the Department of Finance under the direction of Management Board for the 1st Session of the 31st Legislature, Yukon Legislative Assembly. March 2006, Whitehorse, Yukon.",Government and politics,"2006,2006-07,operation and maintenance main estimates,publication",Communications Advisor,misha.donohoe@gov.yk.ca,Finance,Finance,https://yukon.ca/budget,Harvest source: Finance_47. Harvest source modified: 2006-03-01 00:00:00. ,,OGL-Yukon-2.0,Yes,,2020-03-30 21:10:27,2022-03-31 17:33:56,https://open.yukon.ca/information/publications/2006–07-operation-and-maintenance-main-estimates,35689
information,2010–11 Operation and maintenance main estimates,"Operation and maintenance main estimates for the Government of Yukon 2010–11 Budget. 
This document was prepared by the Department of Finance under the direction of Management Board for the 1st Session of the 32nd Legislature, Yukon Legislative Assembly. March 2010, Whitehorse, Yukon.",Government and politics,"2010,2010-11,operation and maintenance main estimates,publication",Communications Advisor,misha.donohoe@gov.yk.ca,Finance,Finance,https://yukon.ca/budget,Harvest source: Finance_47. Harvest source modified: 2010-03-01 00:00:00. ,,OGL-Yukon-2.0,Yes,,2020-03-30 21:11:32,2022-03-31 18:06:31,https://open.yukon.ca/information/publications/2010–11-operation-and-maintenance-main-estimates,35724
information,2017–18 Supplementary estimates no. 1,"Supplementary estimates no. 1 for the Government of Yukon 2017–18 Budget. 
This document was prepared by the Department of Finance under the direction of Management Board for the 2nd Session of the 34th Legislature, Yukon Legislative Assembly. October 2017, Whitehorse, Yukon.",Government and politics,"2017,2017-18,publication,supplementary estimates 1",Communications Advisor,misha.donohoe@gov.yk.ca,Finance,Finance,https://yukon.ca/budget,Harvest source: Finance_47. Harvest source modified: 2017-10-01 00:00:00. ,,OGL-Yukon-2.0,Yes,,2020-07-20 11:21:34,2022-04-01 16:18:57,https://open.yukon.ca/information/publications/2017–18-supplementary-estimates-no-1,35759
information,2008–09 Supplementary estimates no. 1,"Supplementary estimates no. 1 for the Government of Yukon 2008–09 Budget. 
This document was prepared by the Department of Finance under the direction of Management Board for the 1st Session of the 32nd Legislature, Yukon Legislative Assembly. October 2008, Whitehorse, Yukon.",Government and politics,"2008,2008-09,publication,supplementary estimates 1",Communications Advisor,misha.donohoe@gov.yk.ca,Finance,Finance,https://yukon.ca/budget,Harvest source: Finance_47. Harvest source modified: 2008-10-01 00:00:00. ,,OGL-Yukon-2.0,Yes,,2020-03-30 21:12:36,2022-03-31 17:59:40,https://open.yukon.ca/information/publications/2008–09-supplementary-estimates-no-1,35779
information,2012–13 Main estimates,"Main estimates for the Government of Yukon 2012–13 Budget. 
This document was prepared by the Department of Finance under the direction of Management Board for the 1st Session of the 33rd Legislature, Yukon Legislative Assembly. March 2012, Whitehorse, Yukon.",Government and politics,"2012,2012-13,main estimates,publication",Communications Advisor,misha.donohoe@gov.yk.ca,Finance,Finance,https://yukon.ca/budget,Harvest source: Finance_47. Harvest source modified: 2012-03-01 00:00:00. ,,OGL-Yukon-2.0,Yes,,2020-03-30 21:13:24,2022-03-31 18:13:11,https://open.yukon.ca/information/publications/2012–13-main-estimates,35804
information,2006–07 Supplementary estimates no. 2,"Supplementary estimates no. 2 for the Government of Yukon 2006–07 Budget. 
This document was prepared by the Department of Finance under the direction of Management Board for the 1st Session of the 32nd Legislature, Yukon Legislative Assembly. March 2007, Whitehorse, Yukon.",Government and politics,"2006,2006-07,publication,supplementary estimates 2",Communications Advisor,misha.donohoe@gov.yk.ca,Finance,Finance,https://yukon.ca/budget,Harvest source: Finance_47. Harvest source modified: 2006-03-01 00:00:00. ,,OGL-Yukon-2.0,Yes,,2020-03-30 21:13:56,2022-03-31 17:34:07,https://open.yukon.ca/information/publications/2006–07-supplementary-estimates-no-2,35839
information,2003–04 Supplementary estimates no. 2,"Supplementary estimates no. 2 for the Government of Yukon 2003–04 Budget. 
This document was prepared by the Department of Finance under the direction of Management Board for the 1st Session of the 31st Legislature, Yukon Legislative Assembly. March 2004, Whitehorse, Yukon.""",Government and politics,"2003,2003-04,publication,supplementary estimates 2",Communications Advisor,misha.donohoe@gov.yk.ca,Finance,Finance,https://yukon.ca/budget,Harvest source: Finance_47. Harvest source modified: 2004-03-01 00:00:00. ,,OGL-Yukon-2.0,Yes,,2020-07-20 11:21:34,2022-03-31 17:23:05,https://open.yukon.ca/information/publications/2003–04-supplementary-estimates-no-2,35864
information,2001–02 Capital main estimates,"Capital main estimates for the Government of Yukon 2001–02 Budget. 
This document was prepared by the Department of Finance under the direction of Management Board for the 2nd Session of the 30th Legislature, Yukon Legislative Assembly. February 2001, Whitehorse, Yukon.",Government and politics,"2001,2001-02,capital main estimates,publication",Communications Advisor,misha.donohoe@gov.yk.ca,Finance,Finance,https://yukon.ca/budget,Harvest source: Finance_47. Harvest source modified: 2001-02-01 00:00:00. ,,OGL-Yukon-2.0,Yes,,2020-03-30 21:15:01,2022-03-31 17:13:56,https://open.yukon.ca/information/publications/2001–02-capital-main-estimates,35894
information,2014–15 Supplementary estimates no. 3,"Supplementary estimates no. 3 for the Government of Yukon 2014–15 Budget. 
This document was prepared by the Department of Finance under the direction of Management Board for the 1st Session of the 33rd Legislature, Yukon Legislative Assembly. October 2015, Whitehorse, Yukon.",Government and politics,"2014,2014-15,publication,supplementary estimates 3",Communications Advisor,misha.donohoe@gov.yk.ca,Finance,Finance,https://yukon.ca/budget,Harvest source: Finance_47. Harvest source modified: 2015-10-01 00:00:00. ,,OGL-Yukon-2.0,Yes,,2020-03-30 21:15:01,2022-04-01 12:44:21,https://open.yukon.ca/information/publications/2014–15-supplementary-estimates-no-3,35916
information,2012–13 Supplementary estimates no. 2,"Supplementary estimates no. 2 for the Government of Yukon 2012–13 Budget. 
This document was prepared by the Department of Finance under the direction of Management Board for the 1st Session of the 33rd Legislature, Yukon Legislative Assembly. March 2013, Whitehorse, Yukon.",Government and politics,"2012,2012-13,publication,supplementary estimates 2",Communications Advisor,misha.donohoe@gov.yk.ca,Finance,Finance,https://yukon.ca/budget,Harvest source: Finance_47. Harvest source modified: 2013-03-01 00:00:00. ,,OGL-Yukon-2.0,Yes,,2020-03-30 21:15:49,2022-03-31 18:13:07,https://open.yukon.ca/information/publications/2012–13-supplementary-estimates-no-2,35927
information,2001–02 Public Accounts,"Public Accounts for the Government of Yukon 2001–02 Budget. 
This document was prepared by the Department of Finance under the direction of Management Board for the 1st Session of the 31st Legislature, Yukon Legislative Assembly. September 2002, Whitehorse, Yukon.",Government and politics,"2001,2001-02,public accounts,publication",Communications Advisor,misha.donohoe@gov.yk.ca,Finance,Finance,https://yukon.ca/budget,Harvest source: Finance_47. Harvest source modified: 2002-09-01 00:00:00. ,,OGL-Yukon-2.0,Yes,,2020-03-30 21:15:49,2025-05-16 11:29:13,https://open.yukon.ca/information/publications/2001–02-public-accounts,35950
